epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5188,1.46987,4.78316,1.78558,0.48274,0.27778,0.21921,0.15673,0.87109,3.22717,1.27959,0.00010003,0.00010003,0.00010003
2,15.9835,0.99195,2.79452,1.40112,0.73353,0.5,0.59811,0.38654,0.73374,2.17225,0.98739,0.000210106,0.000210106,0.000210106
3,20.5656,0.86417,1.93158,1.17789,0.81094,0.60467,0.75732,0.53507,0.98751,1.83715,1.18001,0.000315655,0.000315655,0.000315655
4,25.3021,0.79234,1.6618,1.1755,0.76883,0.97369,0.91461,0.69934,0.83535,2.3733,1.1955,0.000416676,0.000416676,0.000416676
5,28.4926,0.76732,1.29387,1.10106,0.83776,0.5978,0.85639,0.68845,0.6766,1.94796,0.9959,0.000513171,0.000513171,0.000513171
6,31.6316,0.76682,1.20601,1.11848,0.75899,1,0.98833,0.75733,0.76194,3.42717,1.10515,0.000605139,0.000605139,0.000605139
7,34.9255,0.74192,1.0815,1.09258,0.89958,0.98611,0.99295,0.75087,0.71634,1.46481,1.10915,0.000692579,0.000692579,0.000692579
8,39.3982,0.76338,0.9848,1.13373,0.72835,0.92688,0.87141,0.66536,0.69512,2.43814,1.12222,0.000775493,0.000775493,0.000775493
9,43.2263,0.81605,0.94763,1.13733,0.82519,0.94811,0.93954,0.7434,0.7004,1.76915,1.11231,0.000853879,0.000853879,0.000853879
10,46.324,0.80223,0.9992,1.1437,0.68728,0.87858,0.96113,0.66645,0.88469,4.19989,1.19076,0.000927738,0.000927738,0.000927738
11,49.4089,0.77186,0.90965,1.1015,0.74339,0.94444,0.95704,0.71974,0.75517,2.81355,1.13721,0.00099707,0.00099707,0.00099707
